,id,screen_name,description,url,friend_count,follower_count,created,uid,location,verified,fav_count,tweet_count
0,1274061354148737024,CGuy2019,,,524,76,2019-06-15 20:01:58,1139986426085433345,"Montréal, Québec",False,1308,813
1,1274654076181999616,ambkcsingh,Former Diplomat and Strategic Affairs Expert. Retweets are not endorsements. #RashtraManch,https://t.co/hLF5k4BqQI,596,70895,2013-05-04 08:26:22,1401726968,,True,4187,32895
2,1219985744758001664,Vaccinologist,Physician Scientist FRSPH FRSA • #GlobalHealth #InfectiousDiseases #DigitalHealth • 🎓 UPManila 🇵🇭 HSA 🇸🇬 LSHTM Aberd 🇬🇧 UniSiena 🇮🇹 HKS BMGF 🇺🇸,https://t.co/DqqrnMWQd2,1921,29784,2017-07-19 15:21:32,887693897652097025,"Zurich, Switzerland",False,16675,5791
3,1275600805920272386,SantScb,"Not a BOT | Apolitical | Loves Humour | Free Thinker | Like to Remain Private in Public
Re-tweets are sometimes endorsements; but you won't know which one.",,839,170,2008-12-01 22:14:42,17791062,,False,4993,3784
4,1273032256135868416,QuantBot,"Applying statistical probability to the market.Eternally Curious.Throw away your TV. Do your own research, on everything. I love lamp.❤️",,312,2221,2008-12-04 15:23:18,17869728,SouthernCalifornia,False,18551,19350
5,1273252416826363907,Philj77,"Lover of the natural world, back seat Politician, sports aficionado and crossword geek. It's all a game at the end of the day.",,252,320,2009-02-25 23:59:15,21940177,"Dartford, KENT, UK",False,26042,8758
6,1275034715741761536,WADemocracyTodd,#Democracy & #SocialJustice Advocate. Analyst. Seattle Sports Fan. Husband. Dog&Cat Dad. My views are my own. #BlackLivesMatter 🇺🇸 #FBR #RBG,,2783,2756,2016-08-30 03:23:30,770461916409933824,"Seattle, WA",False,4539,1892
7,1275685328100171776,CDCSouthAfrica,U.S. Centers for Disease Control and Prevention in South Africa,http://t.co/SuesQ9him7,324,3840,2012-11-19 20:55:40,958523305,Pretoria,False,684,6101
8,1275034706925371392,paul_anforth,Retweet’s don’t mean agreement. Vet and Police interested in history I fought for 22 years now Totally Permanently Incapacitated I believe in democracy,,4991,2273,2018-02-07 10:27:01,961184514587353088,"Sydney, New South Wales",False,3064,83920
9,1220175187209064448,moodav47,"RETIRED😎 #KAG2020 Air Force Vet. Low tolerance for anarchism! I Love the Lord, family, friends, 2nd A & freedom. 
 🙏Pro-Life!🙏            NO Bigotry Allowed!",,33493,35207,2015-06-29 22:18:43,3260399730,"Nashville, TN",False,69348,90690
10,1275690479531765760,TheParadiseShow,"USN Vet ⚓ Hospital Worker during the COVID-19 pandemic

- Sailor
- Skateboarder
- Youtuber
-Check Out My Channel!
#Antifa",,31,3,2020-06-08 18:51:59,1270066021571969026,,False,154,180
11,1220051429622108160,IndoPac_Info,"News of the struggle between the free world & #China in the #IndoPacific 

Geo-Politics & the military balance of power
 
Support #HongKong #Taiwan & #India",,405,46806,2017-03-21 10:40:02,844136511079559168,South East Asia,False,62761,88779
12,1275798332699369474,boomlive_in,"IFCN certified fact-driven journalism. India's first independent online resource to fight misinformation, explain issues and keep the internet safe",https://t.co/xlzDAIkbJ5,1179,61425,2014-03-16 03:52:50,2392031700,"Mumbai, India",True,1787,23626
13,1220009767768334336,pointblaek,"Antiracist: Anti-Imperialist: Ecosocialist: Huge fan of [insert arbitrary brand loyalty here]

#AbolishICE #FreePalestine #MakeNazisAfraidAgain",,259,568,2016-10-06 18:54:18,784104512139264000,Stolen Catawba land,False,26029,28191
14,1273144079233224707,PollyA79337515,,,27,2,2019-01-16 10:54:15,1085490406069059589,,False,989,745
15,1274791752294191105,ChiefMacDawg,"Navy Chief (retired). Dad. In love.
Buckeyes fan. Cleveland fan. Navy fan. #blacklivesmatter #blacktranslivesmatter",,2161,2308,2009-02-11 12:46:10,20587444,Methuselah - HD140283,False,106478,129613
16,1275069136096227328,Dean90066,"#MAGA #Trump2020 🇺🇲
Producer CeeItTV",https://t.co/UW2JwVRAIe,5221,5222,2017-09-27 18:16:18,913105030567170048,"California, USA",False,53429,87245
17,1275804608208801799,SkyNews,"We take you to the heart of the stories that shape our world. 

For breaking news, follow @SkyNewsBreak",https://t.co/SnOv0usOtw,27,6269215,2007-07-19 14:42:53,7587032,"London, UK",True,12,408815
18,1273301334322606080,brossh777,Old retired ultra- conservative Southern American. Husband of 62 years. Grandfather and Great Grandfather. Christian. 2A. Support President Trump! 🇱🇷#MAGA,,910,624,2014-12-26 17:38:13,2944188289,"Victorville, Ca.",False,1084,20339
19,1275662854176354304,MarkAnt72,"Jazz & Soul Music Fan, Supporter Of The REAL Alternative Media. Raising Awareness On The Crimes Against Humanity #5G #Technocracy #GeoEngineering #BigPharma",,313,313,2016-04-12 19:17:52,719967790694797312,"South East, England",False,15870,14906
20,1275480111341395968,ConservativeJi1,#Trump 💯 % #KAG #AmericaFirst 🇺🇸#TeamTrump #TrumpTruth 🇺🇸 IFBAP WorldTvlr...127 Countries 🌎 PARLER @ WorldTvlr 🇺🇸 #TakeTheOath,https://t.co/ENPzbrYgD3,5927,5437,2020-05-07 08:22:15,1258310981718953985,"Arizona, USA",False,5070,19114
21,1272964677157388289,Carma_2012,"#NeverTrump and now #NoGOP 
 I may RT you because I agree with you or because you are the biggest idiot to walk the earth.. Up to you to figure out which one.",,1361,1057,2011-09-05 21:36:57,368578726,Trump is literally insane ,False,33269,203415
22,1275466739753631745,KAGSnews,"NBC TV affiliate and Emmy and Murrow award-winning local news station in Bryan, TX. Send breaking news tips at news@kagstv.com.",https://t.co/EDbFi3glDe,1271,6039,2011-10-13 18:47:59,390277164,Bryan/College Station. TX,True,2890,50665
23,1275472599548657670,DaveYoumansMD,"Advocate; Econ&HealthPolicyphile; Chair ACR Radiology Advocacy Network; Past President, Radiological Society of NJ; Ex Naval Officer🇺🇸 IR Radiologist",https://t.co/cAbF1uZG9N,1712,2027,2009-07-15 12:38:39,57004182,,False,17971,2948
24,1275593170999484417,NeedTrump4Prez,"Constitution Matters🇺🇸 POTUS45👍 ❤ gab acct
https://t.co/nc2YoTgHON TrumpIZMyPREZ

#WWG1WGA🌎 #Trump2020 #DrainDeepState 1A 2A #GodBless🇺🇸#FlynnFighters 🙏",,7329,7185,2016-09-27 21:49:04,780887002992349184,United States,False,76880,45616
