,id,tweet,label,screen_name,description,url,friend_count,follower_count,created,uid,location,verified,fav_count,tweet_count
0,1290676801694441473,While facing psychological depression the society expect scientists around converging in suggestion or recommendation toward COVID-19 resolution to calm down people,0,arnold5508,"Infrastructures Economics :
Foresight & Scenario with Cognitive Intelligence
Data driven - let data talk & track
Mathematician independent analysis",,513,440,2009-03-27 02:20:31,26925461,Jakarta,False,854,6450
1,1290675781895585792,Remember when Fauci pushed AZT on AIDS patients and killed a lot of them with it? Now he’s pushing untested vaccines for Covid and repressing treatments that work. And the corporate media has millions worshipping him. ,0,KevinRyan911,"Journal of 9/11 Studies https://t.co/8Jy44riZiL             Dig Within https://t.co/3CAvsyWtfm
Another Nineteen https://t.co/VnNDsW9Izf",,120,1071,2018-12-06 17:23:04,1070730354858835969,,False,2006,2368
2,1290675112258265093,"Mr. Floyd seemed to be having a really bad anxiety attack. The anxiety raised his heart rate which caused breathlessness. That, combined with a lingering Covid infection, combined with a probable lethal dose of drugs caused a heart attack. In my opinion.",0,LucilleDupine,"Huge fan of nice people, macaroni and cheese, etc.  
 Wife, mom, music maker, cake baker, caretaker.",,39,10,2020-05-10 01:04:10,1259287977978724352,Georgia Sand - USA,False,458,213
3,1290674323431333888,Does anyone have an air purifier? Would y'all recommend it or is it a waste of money? Any brands in particular? I have been waking up with a really bad congested nose every morning and it's getting exhausting to keep thinking I have COVID when in reality it's just allergies.,1,casie_guevara,"AST ⚓ ✴ 
UTRGV Alumn✴
23 yrs. ✴
Instagram: @ casie.guevara",,266,177,2015-12-10 01:14:16,4512808338,,False,2573,2563
4,1290674693813354496,Professor David Baker's audacious approach to creating new proteins may offer new options for stopping disease—including COVID-19. ,0,wrfseattle,Washington Research Foundation (WRF) was established in 1981 to support research and scholarship in Washington state.,http://t.co/quXV1NYR7P,374,772,2015-07-27 20:19:28,3298575026,"Seattle, WA",False,2254,6735
5,1290677130162913280,"Except the patent is public info, Vik, so Kennedy does have facts to back up his assertion. Also, new research shows Covid-19 RNA camouflages itself as human RNA which increases likelihood of autoimmune disorders from any Covid-19 vaccine: ",0,ToplessVegas,"Complete guide to Las Vegas topless and nude strip clubs, topless pools, topless shows, burlesque; reviews, tips, articles, deals, news, pictures, video",https://t.co/XemN8tfmae,1165,5294,2009-04-21 18:29:36,33991528,Las Vegas,False,19769,20294
6,1290649842843299841,"I'm thinking most people are no longer creeped out by this often-used image of the corona virus so its losing it's click bait power. That begs the question, what new image will media settle on to create the requisite level of revulsion. An intubated patient? A dead body? ",0,NancyGr91770184,I'm just sittin' here watching the wheels...,,57,25,2020-01-02 23:48:32,1212883247253688320,"Vancouver, British Columbia",False,822,1640
7,1290677242788487168,"No different from having an annual flu shot. Count me in! In fact, they could probably combine the Covid and Flu vaccines together for a two in one shot.",0,s_preval,Earth Observation Scientist. Official Colander Collector. Tweets do not represent the views of my employer. Trans Rights=Human Rights. He/Him.,,1162,679,2015-09-21 21:45:34,3732305422,"Leicester, England",False,9484,15955
8,1290674834385571845,If we continue at this rate the economy with be decimated and mental health issues will be far more rampant than covid ever was. Is anyone really looking critically at suicide rate.,1,JennieB65680068,#freespeach,,661,343,2019-09-07 13:14:36,1170324426723926016,,False,18152,6424
9,1290659350843994112,"It would be very dangerous to open schools, colleges at this time. Government isn't showing correctly the data of Corona patients and also their tests are doubtful. So be careful to demand to open educational institutions. Will our children able to face virus attack.",0,alikhuhawar,❤️❤️Sindhi | Khuhawar کھاوڙ | Student | Book reader | Political Worker | Columnist | Graphic designer | Photographer | Media Coordinator Humsari Magazine❤️❤️,https://t.co/4dEcy4N9Qc,148,83,2009-04-29 06:27:31,36304403,"Hyderabad, Sindh",False,622,1154
10,1290673988952363008,"How should industrial manufacturing companies prepare to challenges brought by the Covid-19 pandemic? How should they leverage these trends to become more innovative, cost-effective and competitive? Find out more here: ",0,FredChapelle,Partner at PwC Luxembourg in charge of  technology and digital transformation for Industries and Services,https://t.co/9wjQCoXfZg,350,139,2015-06-04 17:02:27,3308352519,Luxembourg,False,331,2199
11,1290674215700647936,"The accounts of monthly board meetings published on the group's website are cursory, says Chen. A summary of the December meeting, for example, simply says evidence of human-to-human transmission of COVID-19 in Wuhan was ""insufficient.",0,Strike_Back_Now,I #Voted did you?.,https://t.co/D0A2NhI7AV,7884,7926,2015-02-26 05:20:54,3042468558,"Texas, USA",False,9648,92459
12,1290675508850515968,They have vaccines for the flu. Would have had one for this Covid had this administration acted sooner! FAIL!!,0,SharlenePlesci1,"Photographer, Artist, Idealist dreams of my photos in auto shops and car dealerships and my art in boutiques and salons.",https://t.co/8P2jYAlg7P,48,8,2020-05-29 17:34:16,1266422390004699137,,False,245,323
