,id,label,tweet,screen_name,description,url,friend_count,follower_count,created,uid,location,verified,fav_count,tweet_count
0,1274061354148737024,1,"nhl teams can't control the seasonal flu that runs through their dressing rooms every season, and now they think they can control the coronavirus? #nhl #covid19",CGuy2019,,,524,76,2019-06-15 20:01:58,1139986426085433345,"Montréal, Québec",False,1308,813
1,1274654076181999616,1,via @nytimes. global review that’s free to read. trump holds his oklahoma rally today despite a jump in cases there. worry that like 1918 flu #covid19 may resurge in fall.  https://t.co/1dr0jiyrl6,ambkcsingh,Former Diplomat and Strategic Affairs Expert. Retweets are not endorsements. #RashtraManch,https://t.co/hLF5k4BqQI,596,70895,2013-05-04 08:26:22,1401726968,,True,4187,32895
2,1219985744758001664,0,"the #ncov2019 #coronavirus is scary but let's put things into perspective. it has caused (thus far) &gt;500 cases &amp; 9 deaths. #influenza, this season alone, in the us: 13 million cases, 6600 deaths. if u didn't get a #flushot, don't be too worried about the #ncov coronavirus #wef20 https://t.co/yyzfyxav7s",Vaccinologist,Physician Scientist FRSPH FRSA • #GlobalHealth #InfectiousDiseases #DigitalHealth • 🎓 UPManila 🇵🇭 HSA 🇸🇬 LSHTM Aberd 🇬🇧 UniSiena 🇮🇹 HKS BMGF 🇺🇸,https://t.co/DqqrnMWQd2,1921,29784,2017-07-19 15:21:32,887693897652097025,"Zurich, Switzerland",False,16675,5791
3,1275600805920272386,0,"@netz_melb covid19 is a hoax. coronavirus is the truth. the medical association wants to promote the idea that covid19 is real. can give a new name for the seasonal flu, no worries. the tests are meant to be point in time. tell me a time you proactively got tested yourself for a flu virus",SantScb,"Not a BOT | Apolitical | Loves Humour | Free Thinker | Like to Remain Private in Public
Re-tweets are sometimes endorsements; but you won't know which one.",,839,170,2008-12-01 22:14:42,17791062,,False,4993,3784
4,1273032256135868416,0,"hey jim, no drug needed.
covid19 is no more deadly than the seasonal flu.

https://t.co/vmcz0lcc7o

#fact @jimcramer",QuantBot,"Applying statistical probability to the market.Eternally Curious.Throw away your TV. Do your own research, on everything. I love lamp.❤️",,312,2221,2008-12-04 15:23:18,17869728,SouthernCalifornia,False,18551,19350
5,1273252416826363907,1,"almost unbelievable data manipulation. comparing covid deaths with lockdown in place to, no lock down “flu”years. using a log scale on probability of death chart. moving winter deaths forward to mid summer to make covid look less worse. #coronavirus #covid19 #covid_19 #covid 1/2 https://t.co/ozjwzdsart",Philj77,"Lover of the natural world, back seat Politician, sports aficionado and crossword geek. It's all a game at the end of the day.",,252,320,2009-02-25 23:59:15,21940177,"Dartford, KENT, UK",False,26042,8758
6,1275034715741761536,1,"axios: “today marks 103 days since the last mlb, nba, nfl or nhl game — the longest such drought since the fall of 1918, when the world series was held in september amid wwi and the spanish flu.”

#coronavirus 
#covid19 
#nosports  https://t.co/pfhwf7bj81",WADemocracyTodd,#Democracy & #SocialJustice Advocate. Analyst. Seattle Sports Fan. Husband. Dog&Cat Dad. My views are my own. #BlackLivesMatter 🇺🇸 #FBR #RBG,,2783,2756,2016-08-30 03:23:30,770461916409933824,"Seattle, WA",False,4539,1892
7,1275685328100171776,1,south africa is in the #flu season and that mean more coughs and sneezes. take simple daily precautions to help prevent the spread of respiratory illnesses like #covid19 and influenza. learn how to protect yourself from #covid19: https://t.co/zr8gxdgfkq https://t.co/d8nlpjhmi3,CDCSouthAfrica,U.S. Centers for Disease Control and Prevention in South Africa,http://t.co/SuesQ9him7,324,3840,2012-11-19 20:55:40,958523305,Pretoria,False,684,6101
8,1275034706925371392,1,"ruby princess passenger diagnosed with flu days before coronavirus death, inquiry hears https://t.co/vm34ye9yba",paul_anforth,Retweet’s don’t mean agreement. Vet and Police interested in history I fought for 22 years now Totally Permanently Incapacitated I believe in democracy,,4991,2273,2018-02-07 10:27:01,961184514587353088,"Sydney, New South Wales",False,3064,83920
9,1220175187209064448,0,"i don't mean to be cold about this, but thousands die from the flu in a year &amp; everyone gets bent out of shape over another virus? it appears that only a small number die from the coronavirus as opposed to those infected. same for the flu.😎 https://t.co/2nwwcupwua",moodav47,"RETIRED😎 #KAG2020 Air Force Vet. Low tolerance for anarchism! I Love the Lord, family, friends, 2nd A & freedom. 
 🙏Pro-Life!🙏            NO Bigotry Allowed!",,33493,35207,2015-06-29 22:18:43,3260399730,"Nashville, TN",False,69348,90690
